Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle
106317,1,Flex,>>,2058,187.25,461,359,542,63.83501885230537,194.12800000000001,-3.412000000000006,3
106428,1,Flex,>>,2019,184.0,460,359,543,63.21222777895969,190.734,-3.3940000000000055,3
106539,1,Flex,>>,1980,180.66,469,360,546,62.55583027108867,187.34,-3.3940000000000055,3
106650,1,Flex,>>,1941,177.23,486,362,552,61.60156157955158,183.946,-3.3940000000000055,3
106762,1,Flex,>>,1902,173.63,495,361,557,60.02873167472467,180.554,-3.391999999999996,3
106873,1,Flex,>>,1863,170.2,496,364,562,59.054879856587895,177.144,-3.4099999999999966,3
106984,1,Flex,>>,1824,166.86,523,369,573,58.02950441863421,173.716,-3.4279999999999973,3
107096,1,Flex,>>,1785,163.16,527,375,585,57.02900511584707,170.21599999999998,-3.5000000000000284,3
107207,1,Flex,>>,1746,159.74,527,383,593,55.77497720654694,166.718,-3.4979999999999905,3
107317,1,Flex,>>,1707,156.66,524,391,608,54.60723348506136,163.324,-3.393999999999977,3
107429,1,Flex,>>,1668,153.23,525,399,618,53.34911690542605,159.93,-3.3940000000000055,3
107539,1,Flex,>>,1629,149.89,536,405,629,52.93604465011258,156.536,-3.3940000000000055,3
107651,1,Flex,>>,1590,146.37,545,418,641,52.16240748682564,153.178,-3.358000000000004,3
107760,1,Flex,>>,1551,142.95,547,422,649,51.44954872657532,149.82,-3.358000000000004,3
107872,1,Flex,>>,1512,139.6,547,425,657,51.04706718235417,146.408,-3.412000000000006,3
107983,1,Flex,>>,1473,136.35,558,429,661,50.409658166818645,143.03199999999998,-3.3760000000000048,3
108095,1,Flex,>>,1434,133.01,555,436,666,49.3757841896055,139.656,-3.3759999999999764,3
108207,1,Flex,>>,1395,129.67,557,439,673,48.73447126997603,136.31599999999997,-3.340000000000032,3
108318,1,Flex,>>,1356,126.33,558,447,678,47.54693365004894,132.992,-3.323999999999984,3
108430,1,Flex,>>,1317,122.99,562,451,684,46.66094045351032,129.67,-3.3220000000000027,3
108542,1,Flex,>>,1278,119.65,563,452,688,45.79024229717653,126.33,-3.339999999999989,3
108654,1,Flex,>>,1239,116.57,571,460,690,44.679644123548464,123.042,-3.2879999999999967,3
108766,1,Flex,>>,1200,113.41,579,466,697,44.21147084681549,119.79,-3.2519999999999953,3
108877,1,Flex,>>,1161,110.07,583,470,703,43.54260302703288,116.53800000000001,-3.2519999999999953,3
108989,1,Flex,>>,1122,106.64,585,475,708,42.66745821870068,113.268,-3.2700000000000102,3
109100,1,Flex,>>,1083,103.38,587,484,717,42.49686979511695,110.01400000000001,-3.2539999999999907,3
109211,1,Flex,>>,1044,100.13,585,488,720,42.16531454803396,106.726,-3.288000000000011,3
109323,1,Flex,>>,1005,96.88,588,493,717,41.57624899044564,103.42,-3.3059999999999974,3
109434,1,Flex,>>,966,93.71,593,499,726,41.26107485189838,100.148,-3.2720000000000056,3
109546,1,Flex,>>,927,90.73,601,508,733,40.97884632940186,96.966,-3.182000000000002,3
109656,1,Flex,>>,888,87.38,609,513,738,40.90602430385484,93.76599999999999,-3.200000000000003,3
109767,1,Flex,>>,849,84.04,615,518,742,40.70885183722368,90.548,-3.2179999999999893,3
